name,category,price,brand,rating,stock,discount_percent,description,model_id,url
Apple iPhone 15 Pro,smartphone,999.99,Apple,4.8,In Stock,5,"Latest iPhone with A17 Pro chip, titanium design, and 48MP camera",IP15PRO256,https://amazon.com/dp/B0CHX1W1ZY
Samsung Galaxy S24 Ultra,smartphone,1299.99,Samsung,4.7,In Stock,10,"Flagship smartphone with S-Pen, 200MP camera, and AI features",SGS24U512,https://amazon.com/dp/B0CM59T1SX
Sony WH-1000XM5 Headphones,headphones,399.99,Sony,4.9,In Stock,15,Premium noise cancelling wireless headphones with 30-hour battery,WH1000XM5,https://amazon.com/dp/B09XS7JWHH
Nike Air Max 270,shoes,150.00,Nike,4.6,In Stock,20,Running shoes with Air cushioning and breathable mesh,AIRMAX270,https://amazon.com/dp/B07B3QGW8N
Dell XPS 15 Laptop,laptop,1499.99,Dell,4.5,In Stock,5,"Powerful laptop with 15-inch OLED display and Intel i9 processor",XPS159530,https://amazon.com/dp/B0CJHQDZ2P
Kindle Paperwhite,ebook reader,139.99,Amazon,4.8,In Stock,10,Waterproof e-reader with 6.8-inch display and adjustable warm light,KINDLEPW11,https://amazon.com/dp/B09SWDBZQ4
Apple Watch Series 9,smartwatch,399.00,Apple,4.7,In Stock,8,Advanced smartwatch with health monitoring and Always-On display,AWS945MM,https://amazon.com/dp/B0CHWJQ85L
Bose QuietComfort 45,headphones,329.00,Bose,4.8,In Stock,12,Noise cancelling headphones with premium sound and 24-hour battery,BOSEQC45,https://amazon.com/dp/B098FKXT8L
Logitech MX Master 3S,mouse,99.99,Logitech,4.6,In Stock,15,Wireless mouse with ergonomic design and MagSpeed scrolling,MXM3S,https://amazon.com/dp/B09HMK8M2P
Canon EOS R50 Camera,camera,679.00,Canon,4.4,In Stock,7,Mirrorless camera for photography enthusiasts with 24.2MP sensor,EOSR50KIT,https://amazon.com/dp/B0BV8MPP4Q
PlayStation 5 Console,gaming console,499.99,Sony,4.9,In Stock,0,Next-gen gaming console with ultra-high speed SSD,PS5DISC,https://amazon.com/dp/B0BCNKKZ91
Nintendo Switch OLED,gaming console,349.99,Nintendo,4.7,In Stock,5,Hybrid gaming console with 7-inch OLED screen,NSWOLED,https://amazon.com/dp/B098RL6SBJ
